[ DEBUG | 13:12:19 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:19 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:19 09-12-2024] fromTime: 6
[ DEBUG | 13:12:19 09-12-2024] toTime: 22
[ DEBUG | 13:12:19 09-12-2024] changeBackground
[ DEBUG | 13:12:20 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:20 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:20 09-12-2024] fromTime: 6
[ DEBUG | 13:12:20 09-12-2024] toTime: 22
[ DEBUG | 13:12:20 09-12-2024] changeBackground
[ DEBUG | 13:12:21 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:21 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:21 09-12-2024] fromTime: 6
[ DEBUG | 13:12:21 09-12-2024] toTime: 22
[ DEBUG | 13:12:21 09-12-2024] changeBackground
[ DEBUG | 13:12:22 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:22 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:22 09-12-2024] fromTime: 6
[ DEBUG | 13:12:22 09-12-2024] toTime: 22
[ DEBUG | 13:12:23 09-12-2024] changeBackground
[ DEBUG | 13:12:24 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:24 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:24 09-12-2024] fromTime: 6
[ DEBUG | 13:12:24 09-12-2024] toTime: 22
[ DEBUG | 13:12:24 09-12-2024] changeBackground
[ DEBUG | 13:12:25 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:25 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:25 09-12-2024] fromTime: 6
[ DEBUG | 13:12:25 09-12-2024] toTime: 22
[ DEBUG | 13:12:25 09-12-2024] changeBackground
[ DEBUG | 13:12:26 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:26 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:26 09-12-2024] fromTime: 6
[ DEBUG | 13:12:26 09-12-2024] toTime: 22
[ DEBUG | 13:12:27 09-12-2024] changeBackground
[ DEBUG | 13:12:28 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:28 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:28 09-12-2024] fromTime: 6
[ DEBUG | 13:12:28 09-12-2024] toTime: 22
[ DEBUG | 13:12:28 09-12-2024] changeBackground
[ DEBUG | 13:12:29 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:29 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:29 09-12-2024] fromTime: 6
[ DEBUG | 13:12:29 09-12-2024] toTime: 22
[ DEBUG | 13:12:29 09-12-2024] changeBackground
[ DEBUG | 13:12:30 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:30 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:30 09-12-2024] fromTime: 6
[ DEBUG | 13:12:30 09-12-2024] toTime: 22
[ DEBUG | 13:12:30 09-12-2024] changeBackground
[ DEBUG | 13:12:31 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:31 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:31 09-12-2024] fromTime: 6
[ DEBUG | 13:12:31 09-12-2024] toTime: 22
[ DEBUG | 13:12:32 09-12-2024] changeBackground
[ DEBUG | 13:12:33 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:33 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:33 09-12-2024] fromTime: 6
[ DEBUG | 13:12:33 09-12-2024] toTime: 22
[ DEBUG | 13:12:33 09-12-2024] changeBackground
[ DEBUG | 13:12:34 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:34 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:34 09-12-2024] fromTime: 6
[ DEBUG | 13:12:34 09-12-2024] toTime: 22
[ DEBUG | 13:12:34 09-12-2024] changeBackground
[ DEBUG | 13:12:35 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:35 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:35 09-12-2024] fromTime: 6
[ DEBUG | 13:12:35 09-12-2024] toTime: 22
[ DEBUG | 13:12:36 09-12-2024] changeBackground
[ DEBUG | 13:12:37 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:37 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:37 09-12-2024] fromTime: 6
[ DEBUG | 13:12:37 09-12-2024] toTime: 22
[ DEBUG | 13:12:37 09-12-2024] changeBackground
[ DEBUG | 13:12:38 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:38 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:38 09-12-2024] fromTime: 6
[ DEBUG | 13:12:38 09-12-2024] toTime: 22
[ DEBUG | 13:12:38 09-12-2024] changeBackground
[ DEBUG | 13:12:39 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:39 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:39 09-12-2024] fromTime: 6
[ DEBUG | 13:12:39 09-12-2024] toTime: 22
[ DEBUG | 13:12:39 09-12-2024] changeBackground
[ DEBUG | 13:12:40 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:40 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:40 09-12-2024] fromTime: 6
[ DEBUG | 13:12:40 09-12-2024] toTime: 22
[ DEBUG | 13:12:41 09-12-2024] changeBackground
[ DEBUG | 13:12:42 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:42 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:42 09-12-2024] fromTime: 6
[ DEBUG | 13:12:42 09-12-2024] toTime: 22
[ DEBUG | 13:12:42 09-12-2024] changeBackground
[ DEBUG | 13:12:43 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:43 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:43 09-12-2024] fromTime: 6
[ DEBUG | 13:12:43 09-12-2024] toTime: 22
[ DEBUG | 13:12:43 09-12-2024] changeBackground
[ DEBUG | 13:12:44 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:44 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:44 09-12-2024] fromTime: 6
[ DEBUG | 13:12:44 09-12-2024] toTime: 22
[ DEBUG | 13:12:45 09-12-2024] changeBackground
[ DEBUG | 13:12:46 09-12-2024] nightPath: ./img/night.jpg
[ DEBUG | 13:12:46 09-12-2024] dayPath: ./img/day.jpg
[ DEBUG | 13:12:46 09-12-2024] fromTime: 6
[ DEBUG | 13:12:46 09-12-2024] toTime: 22
[ DEBUG | 13:12:46 09-12-2024] changeBackground
